[3993/7000 43.42%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[3994/7000 43.44%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[3995/7000 43.46%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4010/7000 0.33%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4011/7000 0.37%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4031/7000 1.03%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4043/7000 1.43%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4056/7000 1.87%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4057/7000 1.90%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4095/7000 3.17%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4129/7000 4.30%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4130/7000 4.33%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4131/7000 4.37%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4215/7000 7.17%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4440/7000 14.67%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4446/7000 14.87%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4453/7000 15.10%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4457/7000 15.23%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4470/7000 15.67%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4471/7000 15.70%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4507/7000 16.90%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190


[4545/7000 18.17%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4546/7000 18.20%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4547/7000 18.23%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4548/7000 18.27%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4549/7000 18.30%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4550/7000 18.33%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4551/7000 18.37%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4552/7000 18.40%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4553/7000 18.43%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4554/7000 18.47%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4555/7000 18.50%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

[4605/7000 20.17%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190










[4670/7000 0.00%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4671/7000 0.04%] Fetching | 200 | downloading | scanning | found 2020/2022
[!!!] 4671 FOUND 2020/2022!!!
[4672/7000 0.09%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4673/7000 0.13%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4674/7000 0.17%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4675/7000 0.21%] Fetching | 200 | downloading | scanning | none
[4676/7000 0.26%] Fetching | 200 | downloading | scanning | found 2020/2022
[!!!] 4676 FOUND 2020/2022!!!
[4677/7000 0.30%] Fetching | 200 | downloading | scanning | found 2020/2022
[!!!] 4677 FOUND 2020/2022!!!
[4678/7000 0.34%] Fetching | 200 | downloading | scanning | found 2020/2022
[!!!] 4678 FOUND 2020/2022!!!
[4679/7000 0.39%] Fetching | 200 | downloading | scanning | test 2019
[4680/7000 0.43%] Fetching | 200 | downloading | scanning | none
[4681/7000 0.47%] Fetching | 200 | downloading | scanning | none
[4682/7000 0.52%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4683/7000 0.56%] Fetching | 200 | downloading | scanning | none
[4684/7000 0.60%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4685/7000 0.64%] Fetching | 200 | downloading | scanning | none
[4686/7000 0.69%] Fetching | 200 | downloading | scanning | none
[4687/7000 0.73%] Fetching | 200 | downloading | scanning | none
[4688/7000 0.77%] Fetching | 200 | downloading | scanning | none
[4689/7000 0.82%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4690/7000 0.86%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4691/7000 0.90%] Fetching | 200 | downloading | scanning | test 2020
[4692/7000 0.94%] Fetching | 200 | downloading | scanning | none
[4693/7000 0.99%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4694/7000 1.03%] Fetching | 200 | downloading | scanning | none
[4695/7000 1.07%] Fetching | 200 | downloading | scanning | none
[4696/7000 1.12%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4697/7000 1.16%] Fetching | 200 | downloading | scanning | none
[4698/7000 1.20%] Fetching | 200 | downloading | scanning | none
[4699/7000 1.24%] Fetching | 200 | downloading | scanning | none
[4700/7000 1.29%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190
[4701/7000 1.33%] Fetching | 200 | downloading | scanning | none
[4702/7000 1.37%] Fetching | 200 | downloading | scanning | none
[4703/7000 1.42%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4704/7000 1.46%] Fetching | 200 | downloading | scanning | test 2020
[4705/7000 1.50%] Fetching | 200 | downloading | scanning | none
[4706/7000 1.55%] Fetching | 200 | downloading | scanning | none
[4707/7000 1.59%] Fetching | 200 | downloading | scanning | test 2020
